"COD AMOUNT(cod_amount)","REFERENCE NUMBER(reference_number)",Destination(wpcargo_destination),"Pickup Date(wpcargo_pickup_date_picker)","Shipment Status(wpcargo_status)"
250,100620210018,"Abu Dhabi",6/10/2021,DELIVERED
250,100620210020,"Abu Dhabi",6/10/2021,DELIVERED
260,100620210022,"al ain",6/10/2021,DELIVERED
230,100620210010,"Abu Dhabi",6/10/2021,DELIVERED
460,100620210003,"Abu Dhabi",6/10/2021,DELIVERED
250,80620210007,"Abu dhabi",6/8/2021,DELIVERED
220,80620210008,"Abu dhabi",6/8/2021,DELIVERED
230,80620210002,"Abu dhabi",6/8/2021,DELIVERED
250,80620210003,"Abu dhabi",6/8/2021,DELIVERED
250,80620210005,"Abu dhabi",6/8/2021,DELIVERED
260,50620210022,"ABU DHABi",6/5/2021,DELIVERED
230,50620210027,"ABU DHABi",6/5/2021,DELIVERED
230,50620210030,"ABU DHABi",6/5/2021,DELIVERED
240,50620210015,"ABU DHABi",6/5/2021,DELIVERED
250,50620210016,"ABU DHABi",6/5/2021,DELIVERED
230,50620210020,"ABU DHABi",6/5/2021,DELIVERED
230,50620210001,"ABU DHABi",6/5/2021,DELIVERED
250,50620210002,"ABU DHABi",6/5/2021,DELIVERED
250,50620210007,"ABU DHABi",6/5/2021,DELIVERED
230,30620210024,"ABU DHABI",6/3/2021,DELIVERED
260,30620210025,"al ain",6/3/2021,DELIVERED
520,30620210026,"abu dhabi",6/3/2021,DELIVERED
230,30620210035,"Abu Dhabi",6/3/2021,DELIVERED
200,30620210012,,6/3/2021,DELIVERED
220,30620210013,"Abu Dhabi",6/3/2021,DELIVERED
490,30620210014,"Abu Dhabi",6/3/2021,DELIVERED
220,30620210018,"Al ain",6/3/2021,DELIVERED
230,30620210020,"Al Ain",6/3/2021,DELIVERED
250,30620210022,"Al ain",6/3/2021,DELIVERED
220,30620210001,"Abu Dhabi",6/3/2021,DELIVERED
250,30620210003,"Abu Dhabi",6/3/2021,DELIVERED
220,30620210004,"Abu Dhabi",6/3/2021,DELIVERED
250,30620210007,"Abu Dhabi",6/3/2021,DELIVERED
220,20620210023,"ABU DHABI",6/2/2021,DELIVERED
250,20620210025,"ABU DHABI",6/2/2021,DELIVERED
220,20620210015,"ABU DHABI",6/2/2021,DELIVERED
220,20620210016,"AL AIN",6/2/2021,DELIVERED
250,20620210022,"ABU DHABI",6/2/2021,DELIVERED
260,20620210004,"ABU DHABI",6/2/2021,DELIVERED
260,20620210005,"ABU DHABI",6/2/2021,DELIVERED
260,20620210009,"ABU DHABI",6/2/2021,DELIVERED
260,20620210010,"ABU DHABI",6/2/2021,DELIVERED
260,10620210024,"ABU DHABI",6/1/2021,DELIVERED
250,10620210011,"AL AIN",6/1/2021,DELIVERED
440,10620210013,"ABU DHABI",6/1/2021,DELIVERED
250,10620210016,"ABU DHABI",6/1/2021,DELIVERED
230,10620210017,"ABU DHABI",6/1/2021,DELIVERED
510,10620210019,"ABU DHABI",6/1/2021,DELIVERED
230,10620210001,"ABU DHABI",6/1/2021,DELIVERED
250,10620210002,"ABU DHABI",6/1/2021,DELIVERED
250,10620210003,"ABU DHABI",6/1/2021,DELIVERED
230,10620210008,"ABU DHABI",6/1/2021,DELIVERED
250,10620210010,"ABU DHABI",6/1/2021,DELIVERED
250,310520210029,"abu dhabi",5/31/2021,DELIVERED
250,310520210030,"abu dhabi",5/31/2021,DELIVERED
230,310520210017,"Al ain",5/31/2021,DELIVERED
230,310520210018,"Abu Dhabi",5/31/2021,DELIVERED
250,310520210022,"abu dhabi",5/31/2021,DELIVERED
250,310520210024,"Abu dhabi",5/31/2021,DELIVERED
230,310520210025,"Abu dhabi",5/31/2021,DELIVERED
260,310520210008,"Abu Dhabi",5/31/2021,DELIVERED
220,310520210010,"Abu dhabi",5/31/2021,DELIVERED
250,310520210011,"abu dhabi",5/31/2021,DELIVERED
230,310520210014,"Abu dhabi",5/31/2021,DELIVERED
0,310520210001,,5/31/2021,DELIVERED
230,310520210004,"Abu Dhabi",5/31/2021,DELIVERED
230,310520210005,"Abu Dhabi",5/31/2021,DELIVERED
272,300520210009,"Abu Dhabi",5/30/2021,DELIVERED
250,300520210012,"ABU DHABI",5/30/2021,DELIVERED
230,300520210015,"Abu Dhabi",5/30/2021,DELIVERED
460,300520210004,"Abu Dhabi",5/30/2021,DELIVERED
230,300520210005,"Abu Dhabi",5/30/2021,DELIVERED
270,300520210006,"Abu Dhabi",5/30/2021,DELIVERED
272,300520210007,"Abu Dhabi",5/30/2021,DELIVERED
260,270520210028,"ABU DHABI",5/27/2021,DELIVERED
250,270520210015,"ABU DHABI",5/27/2021,DELIVERED
250,270520210018,"ABU DHABI",5/27/2021,DELIVERED
230,270520210020,"ABU DHABI",5/27/2021,DELIVERED
250,270520210022,"ABU DHABI",5/27/2021,DELIVERED
220,270520210025,"ABU DHABI",5/27/2021,DELIVERED
220,270520210007,"ABU DHABI",5/27/2021,DELIVERED
250,270520210008,"ABU DHABI",5/27/2021,DELIVERED
250,270520210011,"ABU DHABI",5/27/2021,DELIVERED
230,270520210013,"ABU DHABI",5/27/2021,DELIVERED
250,270520210014,"ABU DHABI",5/27/2021,DELIVERED
500,260520210039,"Abu Dhabi",5/26/2021,DELIVERED
230,260520210037,"Abu Dhabi",5/26/2021,DELIVERED
230,260520210036,"Abu Dhabi",5/26/2021,DELIVERED
260,260520210033,"Abu Dhabi",5/26/2021,DELIVERED
230,260520210034,"Abu Dhabi",5/26/2021,DELIVERED
250,260520210024,"Abu Dhabi",5/26/2021,DELIVERED
260,260520210025,"Abu Dhabi",5/26/2021,DELIVERED
220,260520210027,"Abu Dhabi",5/26/2021,DELIVERED
260,260520210029,"Abu Dhabi",5/26/2021,DELIVERED
230,260520210021,"Abu Dhabi",5/26/2021,DELIVERED
250,260520210020,"Abu Dhabi",5/26/2021,DELIVERED
230,260520210016,"Abu Dhabi",5/26/2021,DELIVERED
220,260520210017,"Abu Dhabi",5/26/2021,DELIVERED
240,260520210014,"Abu Dhabi",5/26/2021,DELIVERED
480,260520210012,"Abu Dhabi",5/26/2021,DELIVERED
250,260520210011,"Abu Dhabi",5/26/2021,DELIVERED
230,260520210006,"Abu Dhabi",5/26/2021,DELIVERED
220,260520210007,"Abu Dhabi",5/26/2021,DELIVERED
250,260520210003,"Abu Dhabi",5/26/2021,DELIVERED
250,260520210002,"Abu Dhabi",5/26/2021,DELIVERED
260,250520210021,"Abu dhabi",5/25/2021,DELIVERED
260,250520210023,"Abu dhabi",5/25/2021,DELIVERED
260,250520210018,"Abu dhabi",5/25/2021,DELIVERED
250,250520210015,"Abu dhabi",5/25/2021,DELIVERED
250,250520210012,"Abu dhabi",5/25/2021,DELIVERED
250,250520210011,"Abu dhabi",5/25/2021,DELIVERED
480,250520210002,"Abu dhabi",5/25/2021,DELIVERED
260,240520210023,"Abu Dhabi",5/24/2021,DELIVERED
500,240520210026,"abu dhabi",5/24/2021,DELIVERED
260,240520210027,"abu dhabi",5/24/2021,DELIVERED
250,240520210014,"Abu Dhabi",5/24/2021,DELIVERED
250,240520210015,"Abu dhabi",5/24/2021,DELIVERED
250,240520210003,"Abu Dhabi",5/24/2021,DELIVERED
250,240520210007,"abu dhabi",5/24/2021,DELIVERED
250,230520210035,"ABU DHABI",5/23/2021,DELIVERED
250,230520210022,"Al Ain",5/23/2021,DELIVERED
230,230520210023,"Abu Dhabi",5/23/2021,DELIVERED
260,230520210024,"Al Ain",5/23/2021,DELIVERED
260,230520210028,"Abu Dhabi",5/23/2021,DELIVERED
250,230520210012,"abu dhabi",5/23/2021,DELIVERED
250,230520210013,"abu dhabi",5/23/2021,DELIVERED
220,230520210015,"Al ain",5/23/2021,DELIVERED
250,230520210019,"Abu Dhabi",5/23/2021,DELIVERED
250,230520210021,"ABU DHABI",5/23/2021,DELIVERED
250,230520210002,"Abu Dhabi",5/23/2021,DELIVERED
250,230520210005,"Abu Dhabi",5/23/2021,DELIVERED
250,230520210009,"Abu Dhabi",5/23/2021,DELIVERED
230,230520210010,"Abu Dhabi",5/23/2021,DELIVERED
250,230520210011,"Abu Dhabi",5/23/2021,DELIVERED
230,220520210015,"Abu Dhabi",5/22/2021,DELIVERED
230,220520210019,"Abu Dhabi",5/22/2021,DELIVERED
250,220520210004,"Al Ain",5/22/2021,DELIVERED
230,220520210007,"abu dhabi",5/22/2021,DELIVERED
250,220520210009,"ABU DHABI",5/22/2021,DELIVERED
250,220520210002,"Abu dhabi",5/22/2021,DELIVERED
250,200520210021,"abu dhabi",5/20/2021,DELIVERED
250,200520210023,"AL AIN",5/20/2021,DELIVERED
250,200520210025,"Abu dhabi",5/20/2021,DELIVERED
250,200520210026,"abu Dhabi",5/20/2021,DELIVERED
250,200520210027,"Abu dhabi",5/20/2021,DELIVERED
260,200520210029,"Abu Dhabi",5/20/2021,DELIVERED
260,200520210012,"Abu Dhabi",5/20/2021,DELIVERED
480,200520210015,"ABU DHABI",5/20/2021,DELIVERED
260,200520210020,"Abu Dhabi",5/20/2021,DELIVERED
480,200520210001,"abu dhabi",5/20/2021,DELIVERED
250,200520210003,"abu dhabi",5/20/2021,DELIVERED
250,200520210006,"abu dhabi",5/20/2021,DELIVERED
250,200520210007,"abu Dhabi",5/20/2021,DELIVERED
250,200520210009,"abu Dhabi",5/20/2021,DELIVERED
250,200520210010,"abu Dhabi",5/20/2021,DELIVERED
260,180520210029,"Abu Dhabi",5/18/2021,DELIVERED
230,180520210030,"Abu Dhabi",5/18/2021,DELIVERED
260,180520210031,"Abu Dhabi",5/18/2021,DELIVERED
260,180520210033,"Abu Dhabi",5/18/2021,DELIVERED
260,180520210016,"abu dhabi",5/18/2021,DELIVERED
